Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,,Genre,,Director,,,,Rank
Secret,"Sep 25, 2013 - Nov 14, 2013",2013,KBS2,"Wednesday, Thursday",16,1 hr. 2 min.,15+ - Teens 15 or older,8.4,,"Romance, Drama, Melodrama",,"Baek Sang Hoon, Lee Eung Bok",,,,#165
Military Prosecutor Doberman,"Feb 28, 2022 - Apr 26, 2022",2022,tvN,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.4,,"Action, Military, Mystery, Law",,Jin Chang Gyu,,,,#166
Pachinko,"Mar 25, 2022 - Apr 29, 2022",2022,Apple TV+,Friday,8,54 min.,15+ - Teens 15 or older,8.4,,"Historical, Romance, Drama, Melodrama",,"Kogonada, Justin Chon",,,,#167
My Roommate Is a Gumiho,"May 26, 2021 - Jul 15, 2021",2021,"iQiyi, tvN","Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,,"Comedy, Romance, Fantasy",,Nam Sung Woo,,,,#168
Yumi's Cells 2,"Jun 10, 2022 - Jul 22, 2022",2022,tvN,Friday,14,1 hr. 5 min.,15+ - Teens 15 or older,8.4,,"Comedy, Romance, Life",,Lee Sang Yeob,,,,#169
My Country: The New Age,"Oct 4, 2019 - Nov 23, 2019",2019,"jTBC, Netflix","Friday, Saturday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,,"Action, Historical, Romance, Drama",,Kim Jin Won,,,,#170
Sell Your Haunted House,"Apr 14, 2021 - Jun 9, 2021",2021,KBS2,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,,"Thriller, Mystery, Comedy, Fantasy",,Park Jin Suk,,,,#171
Player,"Sep 29, 2018 - Nov 11, 2018",2018,OCN,"Saturday, Sunday",14,1 hr. 5 min.,,8.4,,"Action, Thriller, Mystery, Comedy",,Go Jae Hyun,,,,#172
The Legend of the Blue Sea,"Nov 16, 2016 - Jan 25, 2017",2016,SBS,"Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.4,,"Comedy, Romance, Drama, Fantasy",,Jin Hyeok,,,,#173
Come and Hug Me,"May 16, 2018 - Jul 19, 2018",2018,MBC,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,,"Thriller, Mystery, Romance, Melodrama",,Choi Joon Bae,,,,#174
Partners for Justice,"May 14, 2018 - Jul 17, 2018",2018,MBC,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.4,,"Thriller, Mystery, Law, Medical",,Noh Do Cheol,,,,#175
Seasons of Blossom,"Sep 21, 2022 - Nov 2, 2022",2022,Wavve,Wednesday,16,25 min.,13+ - Teens 13 or older,8.4,,"Comedy, Romance, Youth, Drama",,Wang Hye Ryung,,,,#176
The Tale of Nokdu,"Sep 30, 2019 - Nov 25, 2019",2019,KBS2,"Monday, Tuesday",32,33 min.,15+ - Teens 15 or older,8.4,,"Action, Historical, Comedy, Romance",,"Kim Dong Hwi, Lee Hyun Jin, Kang Soo Yeon",,,,#177
Psychopath Diary,"Nov 20, 2019 - Jan 9, 2020",2019,tvN,"Wednesday, Thursday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.4,,"Thriller, Mystery, Comedy, Crime",,Lee Jong Jae,,,,#178
The Beauty Inside,"Oct 1, 2018 - Nov 20, 2018",2018,jTBC,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,,"Comedy, Romance, Melodrama, Supernatural",,Song Hyun Wook,,,,#179
Tale of the Nine-Tailed,"Oct 7, 2020 - Dec 3, 2020",2020,tvN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,,"Thriller, Horror, Romance, Fantasy",,"Kang Shin Hyo, Jo Nam Hyung",,,,#180
The Good Detective,"Jul 6, 2020 - Aug 25, 2020",2020,jTBC,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.4,,"Action, Thriller, Mystery, Drama",,Jo Nam Gook,,,,#181
He Is Psychometric,"Mar 11, 2019 - Apr 30, 2019",2019,tvN,"Monday, Tuesday",16,1 hr. 4 min.,15+ - Teens 15 or older,8.4,,"Thriller, Mystery, Romance, Supernatural",,Kim Byung Soo,,,,#182
One Spring Night,"May 22, 2019 - Jul 11, 2019",2019,"MBC, Netflix","Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.4,,"Romance, Life, Drama, Melodrama",,Ahn Pan Seok,,,,#183
Soundtrack #1,"Mar 23, 2022 - Apr 13, 2022",2022,Disney+,Wednesday,4,44 min.,13+ - Teens 13 or older,8.4,,"Music, Romance",,Kim Hee Won,,,,#184
City Hunter,"May 25, 2011 - Jul 28, 2011",2011,SBS,"Wednesday, Thursday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.4,,"Action, Thriller, Crime",,Jin Hyeok,,,,#185
Class of Lies,"Jul 17, 2019 - Sep 5, 2019",2019,OCN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Law, Youth",,"Sung Yong Il, Park Ji Hyun",,,,#186
100 Days My Prince,"Sep 10, 2018 - Oct 30, 2018",2018,tvN,"Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,,"Historical, Comedy, Romance, Drama",,"Lee Jong Jae, Nam Sung Woo",,,,#187
"At a Distance, Spring Is Green","Jun 14, 2021 - Jul 20, 2021",2021,"iQiyi, KBS2, Viki","Monday, Tuesday",12, 1 hr. 3 min.,15+ - Teens 15 or older,8.3,,"Romance, Life, Youth",,Kim Jung Hyun,,,,#188
Lie After Lie,"Sep 4, 2020 - Oct 24, 2020",2020,Channel A,"Friday, Saturday",16,1 hr. 9 min.,15+ - Teens 15 or older,8.3,,"Thriller, Romance, Melodrama",,Kim Jung Kwon,,,,#189
The Sound of Magic,6-May-22,2022,Netflix,Friday,6,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Music, Psychological, Drama, Fantasy",,Kim Seong Yoon,,,,#190
The Mysterious Class,"Nov 12, 2021 - Dec 31, 2021",2021,YouTube,Friday,8,20 min.,,8.3,,"Mystery, Horror, Youth, Supernatural",,Ha Han Me,,,,#191
Good Doctor,"Aug 5, 2013 - Oct 8, 2013",2013,KBS2,"Monday, Tuesday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Romance, Life, Drama, Medical",,"Kim Jin Woo, Ki Min Soo",,,,#192
"It's Okay, That's Friendship",5-Mar-21,2021,YouTube,Friday,1,20 min.,G - All Ages,8.3,,"Comedy, Life",,,,,,#193
Rookie Cops,"Jan 26, 2022 - Mar 16, 2022",2022,Hulu,Wednesday,16,60 min.,15+ - Teens 15 or older,8.3,,"Romance, Life, Youth, Drama ",,"Kim Byung Soo, Kim Jung Wook",,,,#194
True Beauty,"Dec 9, 2020 - Feb 4, 2021",2020,tvN,"Wednesday, Thursday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,,"Comedy, Romance, Youth, Drama",,Kim Sang Hyub,,,,#195
Oh My Ghost,"Jul 3, 2015 - Aug 22, 2015",2015,tvN,"Friday, Saturday",16,60 min.,13+ - Teens 13 or older,8.3,,"Thriller, Comedy, Romance, Supernatural",,Yoo Je Won,,,,#196
God's Gift: 14 Days,"Mar 3, 2014 - Apr 22, 2014",2014,SBS,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Drama, Supernatural",,Lee Dong Hun,,,,#197
The Sound of Your Heart,"Nov 7, 2016 - Nov 28, 2016",2016,Naver TV Cast,"Monday, Thursday",20,15 min.,15+ - Teens 15 or older,8.3,,"Comedy, Life, Sitcom",,Ha Byung Hoon,,,,#198
The Veil,"Sep 17, 2021 - Oct 23, 2021",2021,MBC,"Friday, Saturday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Action, Thriller, Mystery, Crime",,Kim Sung Yong,,,,#199
Graceful Family,"Aug 21, 2019 - Oct 17, 2019",2019,MBN,"Wednesday, Thursday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Drama, Melodrama",,Han Cheol Soo,,,,#200
Gu Family Book,"Apr 8, 2013 - Jun 25, 2013",2013,MBC,"Monday, Tuesday",24,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Action, Historical, Romance, Fantasy ",,"Shin Woo Cheol, Kim Jung Hyun",,,,#201
The Hymn of Death,"Nov 27, 2018 - Dec 4, 2018",2018,"Netflix, SBS","Monday, Tuesday",6,35 min.,15+ - Teens 15 or older,8.3,,"Music, Historical, Romance, Melodrama",,Park Soo Jin,,,,#202
Jumong,"May 15, 2006 - Mar 6, 2007",2006,MBC,"Monday, Tuesday",81,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Adventure, Historical, Romance, Drama",,"Lee Joo Hwan, Kim Keun Hong",,,,#203
Vampire Prosecutor 2,"Sep 9, 2012 - Nov 18, 2012",2012,OCN,Sunday,11,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Action, Mystery, Drama, Supernatural",,Yoo Seon Dong,,,,#204
Ugly Alert,"May 20, 2013 - Nov 29, 2013",2013,SBS,"Monday, Tuesday, Wednesday, Thursday, Friday",133,35 min.,15+ - Teens 15 or older,8.3,,"Business, Romance, Melodrama",,"Shin Yoon Sub, Min Yeon Hong",,,,#205
Misty,"Feb 2, 2018 - Mar 24, 2018",2018,jTBC,"Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Romance, Melodrama",,Mo Wan Il,,,,#206
Voice 3: City of Accomplices,"May 11, 2019 - Jun 30, 2019",2019,OCN,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Psychological, Crime",,Nam Ki Hoon,,,,#207
Confession,"Mar 23, 2019 - May 12, 2019",2019,tvN,"Saturday, Sunday",16,60 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Law, Drama",,"Kim Chul Gyu, Yoon Hyun Gi",,,,#208
Again My Life,"Apr 8, 2022 - May 28, 2022",2022,"SBS, ViuTV","Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Mystery, Law, Drama, Fantasy",,"Han Cheol Soo, Kim Yong Min",,,,#209
Money Heist: Korea - Joint Economic Area - Part 1,24-Jun-22,2022,Netflix,Friday,6,1 hr. 10 min.,18+ Restricted (violence & profanity),8.3,,"Action, Thriller, Mystery, Crime",,Kim Hong Seon,,,,#210
Are You Human Too?,"Jun 4, 2018 - Aug 7, 2018",2018,KBS2,"Monday, Tuesday",36,35 min.,15+ - Teens 15 or older,8.3,,"Comedy, Romance, Sci-Fi, Fantasy",,Cha Young Hoon,,,,#211
Run On,"Dec 16, 2020 - Feb 4, 2021",2020,"jTBC, Netflix","Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Romance, Life, Drama, Sports",,Lee Jae Hoon,,,,#212
The Smile Has Left Your Eyes,"Oct 3, 2018 - Nov 22, 2018",2018,tvN,"Thursday, Wednesday",16,1 hr. 4 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Romance, Drama",,Yoo Je Won,,,,#213
Team Bulldog: Off-duty Investigation,"May 23, 2020 - Jun 28, 2020",2020,OCN,"Saturday, Sunday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Action, Mystery, Comedy, Drama",,Kang Hyo Jin,,,,#214
The Guardians,"May 22, 2017 - Jul 11, 2017",2017,MBC,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.3,,"Action, Thriller, Mystery, Law, Crime",,"Song Hyung Suk, Park Seung Woo",,,,#215
Terius Behind Me,"Sep 27, 2018 - Nov 15, 2018",2018,MBC,"Wednesday, Thursday",32,35 min.,15+ - Teens 15 or older,8.3,,"Action, Mystery, Comedy, Romance",,"Park Sang Hoon, Park Sang Woo",,,,#216
Hyena,"Feb 21, 2020 - Apr 11, 2020",2020,"Netflix, SBS","Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Mystery, Comedy, Law, Romance",,Jang Tae Yoo,,,,#217
Touch Your Heart,"Feb 6, 2019 - Mar 28, 2019",2019,tvN,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Comedy, Law, Romance, Drama",,Park Joon Hwa,,,,#218
Angry Mom,"Mar 18, 2015 - May 7, 2015",2015,MBC,"Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Comedy, Drama, Melodrama",,Ashbun,,,,#219
Welcome 2 Life,"Aug 5, 2019 - Sep 24, 2019",2019,MBC,"Monday, Tuesday",32,35 min.,15+ - Teens 15 or older,8.3,,"Comedy, Law, Romance, Fantasy",,"Kim Keun Hong, Shim So Yeon",,,,#220
Suspicious Partner,"May 10, 2017 - Jul 13, 2017",2017,SBS,"Wednesday, Thursday",40,30 min.,15+ - Teens 15 or older,8.3,,"Thriller, Comedy, Law, Romance",,Park Seon Ho,,,,#221
Mine,"May 8, 2021 - Jun 27, 2021",2021,"Netflix, tvN","Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Drama",,Lee Na Jung,,,,#222
When the Weather Is Fine,"Feb 24, 2020 - Apr 21, 2020",2020,"jTBC, Viki","Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.3,,"Romance, Life, Drama, Melodrama",,Han Ji Seung,,,,#223
Lawless Lawyer,"May 12, 2018 - Jul 1, 2018",2018,tvN,"Saturday, Sunday",16,1 hr. 6 min.,15+ - Teens 15 or older,8.3,,"Action, Thriller, Law, Romance",,Kim Jin Min,,,,#224
Crazy Love,"Mar 7, 2022 - Apr 26, 2022",2022,KBS2,"Monday, Tuesday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Comedy, Romance, Drama",,Kim Jung Hyun,,,,#225
WATCHER,"Jul 6, 2019 - Aug 25, 2019",2019,OCN,"Saturday, Sunday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Drama, Political",,Ahn Gil Ho,,,,#226
Five Enough,"Feb 20, 2016 - Aug 21, 2016",2016,KBS2,"Saturday, Sunday",54,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Comedy, Romance, Drama, Melodrama",,Kim Jung Gyu,,,,#227
Amanza,"Sep 1, 2020 - Nov 3, 2020",2020,Daum Kakao TV,Tuesday,10,15 min.,15+ - Teens 15 or older,8.3,,"Adventure, Life, Fantasy, Melodrama",,Han Ji Won,,,,#228
Light on Me,"Jun 29, 2021 - Aug 19, 2021",2021,Viki,"Tuesday, Thursday",16,24 min.,13+ - Teens 13 or older,8.3,,"Romance, Youth, Drama",,Lee Yoo Yeon,,,,#229
Bulgasal: Immortal Souls,"Dec 18, 2021 - Feb 6, 2022",2021,"Netflix, tvN","Saturday, Sunday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Drama, Fantasy",,Jang Young Woo,,,,#230
Liar Game,"Oct 20, 2014 - Nov 25, 2014",2014,tvN,"Monday, Tuesday",12,1 hr. 3 min.,,8.3,,"Thriller, Mystery, Psychological, Drama",,Kim Hong Seon,,,,#231
Tree With Deep Roots,"Oct 5, 2011 - Dec 22, 2011",2011,SBS,"Wednesday, Thursday",24,1 hr. 9 min.,15+ - Teens 15 or older,8.3,,"Historical, Mystery, Political",,"Jang Tae Yoo, Shin Kyung Soo",,,,#232
49 Days,"Mar 16, 2011 - May 19, 2011",2011,SBS,"Wednesday, Thursday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Romance, Drama, Melodrama, Supernatural",,"Jo Young Kwang, Park Yong Soon",,,,#233
D-Day,"Sep 18, 2015 - Nov 21, 2015",2015,jTBC,"Friday, Saturday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Romance, Drama, Medical",,Jang Yong Woo,,,,#234
Awaken,"Nov 30, 2020 - Jan 19, 2021",2020,tvN,"Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Crime, Fantasy",,"Jo Soo Won, Lee Soo Hyun",,,,#235
Oh My Venus,"Nov 16, 2015 - Jan 5, 2016",2015,KBS2,"Monday, Tuesday",16,60 min.,13+ - Teens 13 or older,8.3,,"Comedy, Law, Romance, Life",,"Kim Hyoung Seok, Lee Na Jung",,,,#236
Leverage,"Oct 13, 2019 - Dec 8, 2019",2019,TV Chosun,Sunday,16,60 min.,15+ - Teens 15 or older,8.3,,"Action, Mystery, Comedy, Crime",,Nam Ki Hoon,,,,#237
The King's Affection,"Oct 11, 2021 - Dec 14, 2021",2021,"KBS2, Netflix","Monday, Tuesday",20,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Historical, Romance, Drama",,"Song Hyun Wook, Lee Hyun Suk",,,,#238
A Gentleman's Dignity,"May 26, 2012 - Aug 12, 2012",2012,SBS,"Saturday, Sunday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Comedy, Romance, Drama, Melodrama",,"Kwon Hyuk Chan, Shin Woo Cheol, Kim Jung Hyun",,,,#239
Rookie Historian Goo Hae Ryung,"Jul 17, 2019 - Sep 26, 2019",2019,"MBC, Netflix","Wednesday, Thursday",40,35 min.,15+ - Teens 15 or older,8.3,,"Historical, Comedy, Romance, Drama",,"Kang Il Soo, Han Hyun Hee",,,,#240
Coffee Prince,"Jul 2, 2007 - Aug 28, 2007",2007,MBC,"Monday, Tuesday",17,60 min.,15+ - Teens 15 or older,8.3,,"Food, Comedy, Romance, Drama",,Lee Yoon Jung,,,,#241
Ghost,"May 30, 2012 - Aug 9, 2012",2012,SBS,"Wednesday, Thursday",20,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery",,"Kim Hyung Shik, Park Shin Woo",,,,#242
Love Playlist: Season 4,"Jun 19, 2019 - Aug 10, 2019",2019,"Naver TV Cast, vLive","Wednesday, Saturday",16,20 min.,15+ - Teens 15 or older,8.3,,"Romance, Life, Youth, Drama",,Yoo Hee Woon,,,,#243
God's Quiz: Reboot,"Nov 14, 2018 - Jan 10, 2019",2018,OCN,"Wednesday, Thursday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Mystery, Medical",,Kim Jong Hyeok,,,,#244
Missing Noir M,"Mar 28, 2015 - May 30, 2015",2015,OCN,Saturday,10,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Thriller, Mystery, Drama",,Lee Seung Young,,,,#245
Live Up to Your Name,"Aug 12, 2017 - Oct 1, 2017",2017,tvN,"Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.3,,"Historical, Romance, Medical, Fantasy",,Hong Jong Chan,,,,#246
Queen for Seven Days,"May 31, 2017 - Aug 3, 2017",2017,KBS2,"Wednesday, Thursday",20,60 min.,15+ - Teens 15 or older,8.3,,"Historical, Romance, Melodrama, Political",,Lee Jung Sub,,,,#247
Memory,"Mar 18, 2016 - May 7, 2016",2016,tvN,"Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.3,,"Law, Romance, Life, Drama",,Park Chan Hong,,,,#248
A Korean Odyssey,"Dec 23, 2017 - Mar 4, 2018",2017,"Netflix, tvN","Saturday, Sunday",20,1 hr. 20 min.,15+ - Teens 15 or older,8.3,,"Horror, Comedy, Romance, Fantasy",,"Park Hong Kyun, Kim Jung Hyun, Kim Byung Soo",,,,#249
Voice 4: Judgment Hour,"Jun 18, 2021 - Jul 31, 2021",2021,tvN,"Friday, Saturday",14,1 hr. 3 min.,15+ - Teens 15 or older,8.3,,"Action, Thriller, Mystery, Crime",,"Shin Yong Hwi, Yoon Ra Young",,,,#250
